ID	Plate	Row	Column	CTB	cellControl	virusControl	Chemical.name	wellType	Broad.Therapeutic.class	Reported.therapeutic.effect	Inhibition.Index	color	pch	CTBvc	CTBcc	Vratio	Vlog2R	I	z	p.value	log10Pval	e.value	FDR	log10FDR	sig	selected.FDR	selected.ii	selected.arbidolMean	selected.FDRandArbidol	selected.FDRorArbidol	selected.FDRonly	selected.ArbidolOnly
01A01	1	A	1	45194	37964.25	10135.6666666667	NA	cellCtl	NA	NA	NA	#FF0000FF	5	10202	37197.5	1.21497412460515	0.280925588973983	115.052140951356	10.1524595704882	1.61557817164125e-24	-23.791672023291	2.51707079141707e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01A02	1	A	2	8413	37964.25	10135.6666666667	Azaguanine-8	treated	Oncology	Antineoplastic	-0.0808352559339928	#FF0000FF	1	10202	37197.5	0.226171113650111	-2.14451341337092	-14.9039183735598	-1.5791552588736	0.942849775280814	-0.0255574981044672	1468.95994988751	0.999999854162159	-6.33365742768098e-08	6.33365742768098e-08	0	0	0	FALSE	FALSE	FALSE	FALSE
01A03	1	A	3	10961	37964.25	10135.6666666667	Allantoin	treated	Dermatology	Antipsoriatic 'Vulnerary	0.0387283463027413	#FF0000FF	1	10202	37197.5	0.294670340748706	-1.7628262377105	5.54704378039664	0.267028844633389	0.394723476193503	-0.403707043155797	614.979175909477	0.933066224633313	-0.0300875309886233	0.0300875309886233	0	0	0	FALSE	FALSE	FALSE	FALSE
01A04	1	A	4	11095	37964.25	10135.6666666667	Acetazolamide	treated	Metabolism	Anticonvulsant 'Antiglaucoma 'Diuretic	0.0450162280530247	#FF0000FF	1	10202	37197.5	0.29827273338262	-1.74529599522844	6.48632167185298	0.351820938957753	0.362486277129406	-0.440708430140669	564.753619767615	0.933066224633313	-0.0300875309886233	0.0300875309886233	0	0	0	FALSE	FALSE	FALSE	FALSE
01A05	1	A	5	10193	37964.25	10135.6666666667	Metformin hydrochloride	treated	Endocrinology	Anorectic 'Antidiabetic 'Antilipemic 'Antineoplastic	0.00269033746529541	#FF0000FF	1	10202	37197.5	0.2740237919215	-1.86762693528908	-0.0682224285856347	-0.239882034861708	0.59478914580301	-0.225636965437356	926.68148916109	0.933066224633313	-0.0300875309886233	0.0300875309886233	0	0	0	FALSE	FALSE	FALSE	FALSE
01A06	1	A	6	28661	37964.25	10135.6666666667	Atracurium besylate	treated	Neuromuscular	Curarizing	0.869291831228249	#FF0000FF	1	10202	37197.5	0.770508770750723	-0.376116715763714	79.8475331871866	6.97440923060059	1.53579390627354e-12	-11.8136670599382	2.39276690597418e-09	4.40702908975046e-10	-9.35585408280608	9.35585408280608	1	0	0	FALSE	TRUE	TRUE	FALSE
01A07	1	A	7	11898	37964.25	10135.6666666667	Isoflupredone acetate	treated	Endocrinology	Anti-inflammatory	0.0826965940640519	#FF0000FF	1	10202	37197.5	0.319860205658982	-1.64448657936281	11.8877332992236	0.83942637325857	0.20061504470806	-0.697636501082847	312.558239655157	0.895568252134629	-0.0479013105453643	0.0479013105453643	0	0	0	FALSE	FALSE	FALSE	FALSE
01A08	1	A	8	10395	37964.25	10135.6666666667	Amiloride hydrochloride dihydrate	treated	Metabolism	Antihypertensive 'Diuretic	0.0121690845813945	#FF0000FF	1	10202	37197.5	0.279454264399489	-1.83931590456708	1.44869470868345	-0.102944306256029	0.540996413416658	-0.266805614077382	842.872412103153	0.933066224633313	-0.0300875309886233	0.0300875309886233	0	0	0	FALSE	FALSE	FALSE	FALSE
01A09	1	A	9	10270	37964.25	10135.6666666667	Amprolium hydrochloride	treated	Infectiology 'Metabolism	Anticoccidial Antiparasitic	0.00630352324717484	#FF0000FF	1	10202	37197.5	0.276093823509644	-1.85676948110726	0.513524611190141	-0.18736557480418	0.574312994038731	-0.240851357538304	894.779644712343	0.933066224633313	-0.0300875309886233	0.0300875309886233	0	0	0	FALSE	FALSE	FALSE	FALSE
01A10	1	A	10	11326	37964.25	10135.6666666667	Hydrochlorothiazide	treated	Metabolism	Antihypertensive 'Diuretic	0.0558557853986628	#FF0000FF	1	10202	37197.5	0.304482828147053	-1.71556722782523	8.07920174699518	0.495616123330124	0.310082637513926	-0.508522550573368	483.108749246696	0.933066224633313	-0.0300875309886233	0.0300875309886233	0	0	0	FALSE	FALSE	FALSE	FALSE
